threshold,precision,recall,f1,tp,fp,fn,tn,flagged
0.0500000000,0.5689045936,0.8518518519,0.6822033898,322,244,56,226358,566
0.1000000000,0.7070484581,0.8492063492,0.7716346154,321,133,57,226469,454
0.1500000000,0.7582938389,0.8465608466,0.8000000000,320,102,58,226500,422
0.2000000000,0.7875000000,0.8333333333,0.8097686375,315,85,63,226517,400
0.2500000000,0.8253968254,0.8253968254,0.8253968254,312,66,66,226536,378
0.3000000000,0.8442622951,0.8174603175,0.8306451613,309,57,69,226545,366
0.3500000000,0.8696883853,0.8121693122,0.8399452804,307,46,71,226556,353
0.4000000000,0.8879056047,0.7962962963,0.8396094840,301,38,77,226564,339
0.4500000000,0.9113149847,0.7883597884,0.8453900709,298,29,80,226573,327
0.5000000000,0.9274447950,0.7777777778,0.8460431655,294,23,84,226579,317
0.5500000000,0.9403973510,0.7513227513,0.8352941176,284,18,94,226584,302
0.6000000000,0.9589041096,0.7407407407,0.8358208955,280,12,98,226590,292
0.6500000000,0.9614035088,0.7248677249,0.8265460030,274,11,104,226591,285
0.7000000000,0.9600000000,0.6984126984,0.8085758040,264,11,114,226591,275
0.7500000000,0.9613899614,0.6587301587,0.7817896389,249,10,129,226592,259
0.8000000000,0.9710743802,0.6216931217,0.7580645161,235,7,143,226595,242
0.8500000000,0.9752475248,0.5211640212,0.6793103448,197,5,181,226597,202
0.9000000000,0.9808917197,0.4074074074,0.5757009346,154,3,224,226599,157
0.9500000000,1.0000000000,0.2275132275,0.3706896552,86,0,292,226602,86
