configuration,model,scaling,imbalance,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,family_rank,imbalance_rank,n_estimators,scaling_rank
LR | standard | original,Logistic Regression,standard,Original distribution,0.7527089224,0.0363778691,0.8632884481,0.0278606427,0.6056491228,0.0619865055,0.7096443502,0.0358900524,0.9777431379,0.0148948866,0,0,0,0
LR | standard | class weights,Logistic Regression,standard,Class weights (balanced),0.7382337722,0.0294362368,0.0605346098,0.0079322621,0.9178947368,0.0273998919,0.1134807235,0.0138778145,0.9814459510,0.0089864705,0,0,0,0
LR | standard | oversampling,Logistic Regression,standard,Random oversampling,0.7387257274,0.0290074082,0.0608844178,0.0078762406,0.9152631579,0.0243202446,0.1140773801,0.0137689853,0.9814626979,0.0090070544,0,2,0,0
LR | standard | SMOTE,Logistic Regression,standard,SMOTE,0.7431214675,0.0306370425,0.0549832545,0.0060466344,0.9072982456,0.0376260782,0.1036295759,0.0108013952,0.9809032869,0.0091730065,0,3,0,0
LR | standard | undersampling,Logistic Regression,standard,Random undersampling,0.5715170857,0.1286341320,0.0430268632,0.0062750343,0.9126315789,0.0275888001,0.0821162710,0.0114714882,0.9802298405,0.0096792281,0,1,0,0
LR | minimal | original,Logistic Regression,minimal,Original distribution,0.7547788687,0.0345136339,0.8637136182,0.0284905605,0.6083157895,0.0605181281,0.7117424357,0.0354295723,0.9769657719,0.0159977690,0,0,0,1
LR | minimal | class weights,Logistic Regression,minimal,Class weights (balanced),0.7379511192,0.0293359142,0.0605639121,0.0080302417,0.9178947368,0.0273998919,0.1135302799,0.0140400886,0.9813586757,0.0090193064,0,0,0,1
LR | minimal | oversampling,Logistic Regression,minimal,Random oversampling,0.7382515718,0.0290970489,0.0607047393,0.0076941379,0.9152631579,0.0243202446,0.1137653355,0.0134522510,0.9814407504,0.0089727596,0,2,0,1
LR | minimal | SMOTE,Logistic Regression,minimal,SMOTE,0.7427344249,0.0312492971,0.0559299476,0.0070573315,0.9072982456,0.0376260782,0.1052887300,0.0125314172,0.9806947773,0.0088204506,0,3,0,1
LR | minimal | undersampling,Logistic Regression,minimal,Random undersampling,0.5917528205,0.1237923130,0.0436224253,0.0064954695,0.9126315789,0.0275888001,0.0831981881,0.0118624720,0.9809308342,0.0086898555,0,1,0,1
LR | log_amount | original,Logistic Regression,log_amount,Original distribution,0.7542551791,0.0369241668,0.8698667846,0.0265592502,0.6083508772,0.0549330996,0.7141735986,0.0324055204,0.9785457534,0.0146602256,0,0,0,2
LR | log_amount | class weights,Logistic Regression,log_amount,Class weights (balanced),0.7366367277,0.0278594330,0.0590901958,0.0070055853,0.9126315789,0.0345538330,0.1108996599,0.0122162816,0.9809791280,0.0096027241,0,0,0,2
LR | log_amount | oversampling,Logistic Regression,log_amount,Random oversampling,0.7365815921,0.0278130785,0.0590869048,0.0066023596,0.9100000000,0.0316237499,0.1108826369,0.0114984053,0.9809903612,0.0096260083,0,2,0,2
LR | log_amount | SMOTE,Logistic Regression,log_amount,SMOTE,0.7399391718,0.0281413171,0.0544007576,0.0063008294,0.9072982456,0.0387593454,0.1025807461,0.0111925219,0.9801169967,0.0097128831,0,3,0,2
LR | log_amount | undersampling,Logistic Regression,log_amount,Random undersampling,0.5788240334,0.1344855509,0.0429180097,0.0067844929,0.9152631579,0.0306224540,0.0819246347,0.0124206518,0.9794912411,0.0105518616,0,1,0,2
RF | standard | original,Random Forest,standard,Original distribution,0.8341313461,0.0349615338,0.9427244318,0.0215920174,0.7750877193,0.0797295560,0.8487774940,0.0493038344,0.9388583502,0.0215826143,1,0,100,0
RF | standard | class weights,Random Forest,standard,Class weights (balanced),0.8346926923,0.0306827982,0.9210518860,0.0234488339,0.7882456140,0.0580294817,0.8481394299,0.0300517210,0.9592118943,0.0174078830,1,0,100,0
RF | standard | oversampling,Random Forest,standard,Random oversampling,0.8331357100,0.0304556335,0.9346909462,0.0302588500,0.7776842105,0.0617986534,0.8475594975,0.0363236087,0.9493249022,0.0208114475,1,2,100,0
RF | standard | SMOTE,Random Forest,standard,SMOTE,0.8424937628,0.0321385080,0.8926344732,0.0382816854,0.8227368421,0.0480901162,0.8553221588,0.0306382413,0.9737814080,0.0166507358,1,3,100,0
RF | standard | undersampling,Random Forest,standard,Random undersampling,0.7579174431,0.0594718158,0.0695680495,0.0098891890,0.8941403509,0.0361875012,0.1289533334,0.0170268093,0.9790597085,0.0118788185,1,1,100,0
LR tuned | standard | original | C=0.1 L1,Logistic Regression,standard,Original distribution,0.7558714184,0.0324829587,0.8742774409,0.0178812710,0.5845263158,0.0527335854,0.6993075842,0.0358737731,0.9811217468,0.0110609795,0,0,0,0
RF tuned | standard | original | 100 trees,Random Forest,standard,Original distribution,0.8385799169,0.0448066534,0.9266673141,0.0238800043,0.7777192982,0.0901710013,0.8438666247,0.0606101777,0.9537490205,0.0221950993,1,0,100,0
RF tuned | standard | original | 300 trees,Random Forest,standard,Original distribution,0.8402580509,0.0428402683,0.9275308808,0.0251052726,0.7830175439,0.0944918372,0.8469889187,0.0615213664,0.9633433805,0.0145432512,1,0,300,0
