imbalance,C,l1_ratio,solver,mean_test_pr_auc,std_test_pr_auc,mean_train_pr_auc,std_train_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_precision,std_test_precision,mean_train_precision,std_train_precision,mean_test_recall,std_test_recall,mean_train_recall,std_train_recall,mean_test_f1,std_test_f1,mean_train_f1,std_train_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,penalty
original,0.1000000000,1.0000000000,liblinear,0.7558714184,0.0290536415,0.7650116198,0.0078470085,0.9811217468,0.0098932409,0.9834501079,0.0015381816,0.8742774409,0.0159934950,0.8822782394,0.0104349486,0.5845263158,0.0471663526,0.5945817761,0.0151810301,0.6993075842,0.0320864781,0.7103083429,0.0123679489,0.7503911548,0.7495430452,0.7102925072,0.7699640562,0.7991663285,L1
original,1.0000000000,1.0000000000,liblinear,0.7546354958,0.0318863208,0.7677866401,0.0078949290,0.9766826347,0.0131855477,0.9819882655,0.0013440620,0.8619002409,0.0279929010,0.8789621691,0.0138841691,0.6136491228,0.0516777190,0.6283128975,0.0079675185,0.7147923679,0.0291682820,0.7327592190,0.0088749726,0.7495770032,0.7448721302,0.7087870681,0.7623846311,0.8075566464,L1
original,10.0000000000,1.0000000000,liblinear,0.7540373292,0.0322657751,0.7677582471,0.0078258369,0.9758460549,0.0138362974,0.9814594857,0.0014655887,0.8622410663,0.0295758678,0.8806309004,0.0116839445,0.6162807018,0.0426980782,0.6336043538,0.0089356154,0.7172021775,0.0226268373,0.7369217498,0.0082541812,0.7486960134,0.7432596434,0.7084239915,0.7617227349,0.8080842626,L1
original,100.0000000000,1.0000000000,liblinear,0.7538573305,0.0323190748,0.7677283123,0.0077820518,0.9757460453,0.0138872975,0.9814049255,0.0014765177,0.8622410663,0.0295758678,0.8805242269,0.0116478403,0.6162807018,0.0426980782,0.6329442878,0.0090282926,0.7172021775,0.0226268373,0.7364356078,0.0082206893,0.7482193266,0.7430835988,0.7083754136,0.7614510446,0.8081572691,L1
original,0.0100000000,0.0000000000,lbfgs,0.7537073098,0.0262938913,0.7602821132,0.0083342613,0.9835462182,0.0097558271,0.9863043934,0.0014589021,0.8774324772,0.0200041713,0.8842460810,0.0070166340,0.5792280702,0.0519995502,0.5806876052,0.0132964882,0.6960008883,0.0343837611,0.7009176390,0.0099717848,0.7476366742,0.7509816839,0.7110361839,0.7678804893,0.7910015178,L2
original,0.1000000000,0.0000000000,lbfgs,0.7531566228,0.0317209814,0.7658561190,0.0081347252,0.9800038198,0.0115344042,0.9836793646,0.0022435110,0.8639585026,0.0226865241,0.8802169376,0.0122296685,0.5950526316,0.0593292144,0.6170742902,0.0092095143,0.7024297972,0.0370756021,0.7255111026,0.0101186881,0.7480099615,0.7453858368,0.7048864850,0.7644856340,0.8030151966,L2
original,1.0000000000,0.0000000000,lbfgs,0.7527089224,0.0325373552,0.7660835302,0.0079435666,0.9777431379,0.0133223916,0.9824351426,0.0020894054,0.8632884481,0.0249193164,0.8782166722,0.0134474822,0.6056491228,0.0554424160,0.6243503158,0.0111690737,0.7096443502,0.0321010387,0.7297980630,0.0110595733,0.7487247757,0.7427162372,0.7040922292,0.7633282489,0.8046831208,L2
original,100.0000000000,0.0000000000,lbfgs,0.7521246723,0.0328864812,0.7660023140,0.0078101685,0.9775224645,0.0134692738,0.9822586382,0.0020494299,0.8632884481,0.0249193164,0.8776267193,0.0138020260,0.6056491228,0.0554424160,0.6256748191,0.0114583409,0.7096443502,0.0321010387,0.7304975603,0.0113990187,0.7487220390,0.7410809075,0.7033603971,0.7625367149,0.8049233030,L2
original,10.0000000000,0.0000000000,lbfgs,0.7521209448,0.0329718403,0.7660089216,0.0078276955,0.9775311760,0.0134691993,0.9822703575,0.0020478214,0.8632884481,0.0249193164,0.8776267193,0.0138020260,0.6056491228,0.0554424160,0.6256748191,0.0114583409,0.7096443502,0.0321010387,0.7304975603,0.0113990187,0.7487245342,0.7410654148,0.7031338944,0.7627458078,0.8049350727,L2
original,0.0010000000,0.0000000000,lbfgs,0.7511692448,0.0266137746,0.7550707059,0.0079603945,0.9840720336,0.0080142182,0.9854406221,0.0018089955,0.8626607177,0.0316072437,0.8659258951,0.0072816964,0.4891929825,0.0499677458,0.4993399340,0.0078756235,0.6223284208,0.0382713187,0.6333571185,0.0060138032,0.7635647972,0.7562753241,0.7064101589,0.7425844284,0.7870115156,L2
