class_weight,max_features,min_samples_leaf,mean_test_pr_auc,std_test_pr_auc,mean_train_pr_auc,std_train_pr_auc,mean_test_roc_auc,std_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_precision,std_test_precision,mean_train_precision,std_train_precision,mean_test_recall,std_test_recall,mean_train_recall,std_train_recall,mean_test_f1,std_test_f1,mean_train_f1,std_train_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc
,0.3,5,0.8385799169,0.0400762892,0.9725748281,0.0017797560,0.9537490205,0.0198519003,0.9999495214,0.0000037480,0.9266673141,0.0213589252,0.9669010897,0.0062080395,0.7777192982,0.0806513954,0.8286975717,0.0106391535,0.8438666247,0.0542113909,0.8924151141,0.0052777477,0.8225676713,0.8536668664,0.7682538876,0.8797917521,0.8686194067
balanced,sqrt,5,0.8364671493,0.0343842640,0.9991360814,0.0004405758,0.9685628051,0.0184425375,0.9999987333,0.0000006363,0.8397684347,0.0331178489,0.8612022306,0.0110725972,0.8227719298,0.0468694184,1.0000000000,0.0000000000,0.8301859920,0.0296600367,0.9253878702,0.0063665187,0.8407704616,0.8551089397,0.7705232755,0.8462979542,0.8696351155
,0.3,1,0.8355680052,0.0304504635,1.0000000000,0.0000000000,0.9443556437,0.0185944684,1.0000000000,0.0000000000,0.9412428461,0.0185698519,1.0000000000,0.0000000000,0.7909824561,0.0653957905,1.0000000000,0.0000000000,0.8577847288,0.0378520045,1.0000000000,0.0000000000,0.8243132154,0.8577903136,0.7808292826,0.8629928069,0.8519144075
balanced,sqrt,1,0.8346926923,0.0274435290,1.0000000000,0.0000000000,0.9592118943,0.0155700839,1.0000000000,0.0000000000,0.9210518860,0.0209732747,0.9723771910,0.0050496803,0.7882456140,0.0519031463,1.0000000000,0.0000000000,0.8481394299,0.0268790764,0.9859885162,0.0025985732,0.8348933957,0.8636483593,0.7891152135,0.8239938238,0.8618126690
,sqrt,1,0.8341313461,0.0312705465,1.0000000000,0.0000000000,0.9388583502,0.0193040771,1.0000000000,0.0000000000,0.9427244318,0.0193124875,1.0000000000,0.0000000000,0.7750877193,0.0713122828,1.0000000000,0.0000000000,0.8487774940,0.0440986901,1.0000000000,0.0000000000,0.8218063830,0.8542382748,0.7780906993,0.8620048720,0.8545165011
balanced,0.3,5,0.8330236547,0.0334783937,0.9973314607,0.0010575208,0.9677398792,0.0161162234,0.9999959625,0.0000016300,0.8301953780,0.0448561243,0.8621948811,0.0112520494,0.8254035088,0.0443919142,1.0000000000,0.0000000000,0.8266398198,0.0327215953,0.9259592752,0.0065001492,0.8361418603,0.8542165847,0.7690216236,0.8414409102,0.8642972944
,sqrt,5,0.8319381983,0.0392646765,0.9711052089,0.0018331786,0.9584033391,0.0207563843,0.9999468264,0.0000037668,0.9281350127,0.0278585327,0.9643913343,0.0061555413,0.7539649123,0.0783993926,0.8220816121,0.0137215694,0.8300657988,0.0540298827,0.8874796676,0.0073927517,0.8125135331,0.8560878617,0.7634847067,0.8598332311,0.8677716587
balanced,0.3,1,0.8241872399,0.0263412913,1.0000000000,0.0000000000,0.9552542228,0.0101738937,1.0000000000,0.0000000000,0.9216739292,0.0219480275,0.9717548447,0.0053746775,0.7989473684,0.0549399067,1.0000000000,0.0000000000,0.8546529973,0.0317707067,0.9856675895,0.0027619371,0.8317851538,0.8603369119,0.7826242498,0.8094032895,0.8367865944
,0.3,20,0.8218889066,0.0395659688,0.9132186300,0.0047965548,0.9684777153,0.0106934012,0.9997757268,0.0000144758,0.8876180151,0.0358453377,0.9143100319,0.0160597584,0.7407017544,0.0793687778,0.7678644023,0.0193733721,0.8048997415,0.0507093576,0.8345756120,0.0148201493,0.8048834597,0.8447219502,0.7517122915,0.8573528655,0.8507739660
balanced,0.3,20,0.8182040301,0.0319582610,0.9684670710,0.0019637849,0.9793855931,0.0094252145,0.9999518674,0.0000031787,0.6721735452,0.0506717729,0.7210660723,0.0357311029,0.8359649123,0.0397514593,1.0000000000,0.0000000000,0.7435761112,0.0320700064,0.8374281065,0.0241596797,0.8281103540,0.8378034985,0.7546154021,0.8350965071,0.8353943888
,sqrt,20,0.8156809357,0.0384841374,0.9017746393,0.0057039402,0.9647118704,0.0128109612,0.9997327087,0.0000189160,0.8910662885,0.0282083682,0.9022071540,0.0105745214,0.7248421053,0.0765723536,0.7453740738,0.0207872038,0.7967244268,0.0480665222,0.8162483208,0.0160376468,0.7997067792,0.8365957175,0.7472536141,0.8501595849,0.8446889830
balanced,sqrt,20,0.8106437845,0.0311188621,0.9620493698,0.0028598278,0.9750633781,0.0109231575,0.9999440390,0.0000043800,0.7067732439,0.0444542580,0.7387202860,0.0247351529,0.8491578947,0.0406957648,1.0000000000,0.0000000000,0.7703220032,0.0314135385,0.8494976688,0.0162432001,0.8077506013,0.8302127759,0.7512277631,0.8301463485,0.8338814337
